Artist name,Song name,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration(ms),Track URI,TopList,Year
Daryl Hall & John Oates,Private Eyes,0.85,0.938,9,-6.889,0,0.0415,0.409,0.000346,0.0582,0.84,120.826,217200,spotify:track:5HQ639Z3ms3hnZx0KfWnkp,yes,1981
Steely Dan,Hey Nineteen,0.952,0.301,2,-13.936,1,0.0612,0.0126,0.000931,0.0387,0.728,119.629,307400,spotify:track:1tjK9HhmpEfk0ijyIKsoUk,yes,1981
Styx,The Best Of Times,0.341,0.324,0,-11.864,1,0.025,0.13,1.11e-06,0.134,0.321,78.662,257867,spotify:track:7GRUpcvSQM9HrnC2CjYPG4,yes,1981
Kool & The Gang,Take My Heart (You Can Have It If You Want It),0.927,0.379,11,-15.887,1,0.136,0.216,8.3e-06,0.0432,0.947,111.733,246427,spotify:track:7jHOi7ls5RjJaOtmMSxY8w,yes,1981
Odyssey,Going Back to My Roots - Single Version,0.698,0.853,1,-9.667,1,0.0353,0.0551,0.00196,0.0388,0.879,107.347,205507,spotify:track:2ce4RsJ38JH1iroQhoph3J,yes,1981
Squeeze,Labelled With Love,0.602,0.226,4,-17.864,1,0.0354,0.0495,3.47e-06,0.0846,0.678,93.458,283800,spotify:track:312qLrfYGCDSF2O56sZtZe,yes,1981
Roxy Music,Jealous Guy,0.51,0.622,4,-7.651,0,0.0268,0.0395,0.00532,0.128,0.387,77.663,297307,spotify:track:6EMQo2suHaUYZVsbGVTxSZ,yes,1981
Orchestral Manoeuvres In The Dark,Souvenir,0.753,0.586,1,-13.294,1,0.0308,0.499,0.822,0.0486,0.932,102.663,218333,spotify:track:0eKV8ORa8VRaBgQEak6smi,yes,1981
Elaine Paige,Memory,0.198,0.155,3,-15.993,1,0.0358,0.743,0.00149,0.344,0.086,175.152,251693,spotify:track:6wNNhduAv04cytUxHgYv1F,yes,1981
A Taste Of Honey,Sukiyaki - Remastered,0.583,0.415,3,-8.854,1,0.0301,0.827,3.39e-05,0.138,0.245,136.065,223200,spotify:track:3FD0RyHoYObYJkBIDGra4W,yes,1981
Quarterflash,Harden My Heart,0.513,0.717,11,-5.382,0,0.0619,0.0878,0,0.105,0.457,123.419,232533,spotify:track:0qa47H0UtlOFq9TLSVrv9R,yes,1981
REO Speedwagon,Take It On the Run,0.371,0.758,7,-5.679,1,0.036,0.0958,0,0.116,0.452,77.81,239680,spotify:track:5gys5nzVQIYhgHIfiOJYva,yes,1981
Christopher Cross,Arthur's Theme (Best That You Can Do),0.526,0.515,9,-11.169,1,0.0389,0.169,0.000816,0.181,0.518,136.543,234493,spotify:track:5fnOrhQ4KgT5irGCjIccGH,yes,1981
Yarbrough & Peoples,Don't Stop The Music,0.824,0.811,8,-6.109,0,0.0425,0.126,0.0595,0.0457,0.96,98.277,250000,spotify:track:7C7TiKlyYsVGNdvNJR1QeS,yes,1981
Shakin' Stevens,This Ole House,0.502,0.965,10,-2.946,1,0.112,0.053,0,0.34,0.962,192.811,185867,spotify:track:1Fovcw2l65GDnf3utzqdGC,yes,1981
Cliff Richard,Wired for Sound - 2001 Remaster,0.545,0.894,1,-4.48,1,0.0956,0.121,0,0.0602,0.845,157.668,218400,spotify:track:4VGlBK62umuMrrN7hv9Ins,yes,1981
Juice Newton,Queen Of Hearts,0.658,0.862,2,-9.963,1,0.0535,0.211,5.44e-05,0.2,0.969,169.532,205827,spotify:track:6R6ib5FgDYlG0rPA9c5DVv,yes,1981
Quincy Jones,One Hundred Ways,0.626,0.25,3,-17.499,1,0.0503,0.817,4.33e-05,0.0668,0.345,90.103,259040,spotify:track:0Yp603BgzIKDDcSUBrYYba,yes,1981
Depeche Mode,Just Can't Get Enough,0.766,0.772,0,-9.362,1,0.0353,0.403,0.0584,0.183,0.919,128.168,220893,spotify:track:0qi4b1l0eT3jpzeNHeFXDT,yes,1981
Stevie Nicks,Leather and Lace,0.488,0.478,3,-7.178,1,0.0288,0.691,0,0.157,0.371,153.469,234827,spotify:track:6L5c6wFGDQswebVAS3BmUw,yes,1981
Kim Wilde,Chequered Love,0.557,0.658,7,-4.266,1,0.0527,0.071,0.0253,0.0529,0.807,182.007,200893,spotify:track:32CzlQoaKgZxT3WA4qHSgs,yes,1981
Electric Light Orchestra,Hold On Tight,0.439,0.794,7,-11.792,1,0.0633,0.159,1.69e-06,0.434,0.748,145.056,186600,spotify:track:6yBbmHFTxihIDFAerzDMGi,yes,1981
George Harrison,All Those Years Ago - Remastered 2004,0.555,0.639,2,-6.832,1,0.033,0.137,1.99e-05,0.0733,0.518,125.77,227320,spotify:track:32fKHW6Eac4yBXn9WY7Aic,yes,1981
George Benson,Turn Your Love Around,0.627,0.385,9,-13.655,0,0.0537,0.334,0,0.182,0.766,205.726,230107,spotify:track:6a899bXlCuViXW2Qs8Rdqo,yes,1981
Rod Stewart,Tonight I'm Yours (Don't Hurt Me),0.68,0.826,9,-4.958,1,0.0671,0.0683,0.444,0.0861,0.963,158.314,251867,spotify:track:5sgVguJJlA7thC8ybAFOo5,yes,1981
The Cars,Shake It Up,0.692,0.74,0,-7.466,1,0.0329,0.0723,8.83e-05,0.136,0.864,147.274,215440,spotify:track:5lXG3SLCMVk7dJzp1YeMni,yes,1981
Gary U.S. Bonds,This Little Girl,0.505,0.898,11,-7.511,1,0.0452,0.0635,0,0.28,0.859,145.465,222707,spotify:track:2Go3GgCcMjtZVdLUo2CI63,yes,1981
Olivia Newton-John,Physical,0.77,0.826,4,-5.007,0,0.0444,0.123,5.1e-05,0.149,0.819,123.903,223373,spotify:track:5FFAqdNj7SAzVCOpPp3QZI,yes,1981
The Police,"De Do Do Do, De Da Da Da",0.78,0.523,9,-8.884,1,0.051,0.06,0.0629,0.24,0.855,147.86,247293,spotify:track:0yJvWbn8xQKiDZ84VN5lQG,yes,1981
Elvis Costello & The Attractions,Good Year For The Roses,0.507,0.395,9,-10.955,1,0.0371,0.249,0.000619,0.147,0.457,97.272,188920,spotify:track:4RZCoFsZHw9XvDZdv2jtkK,yes,1981
Billy Idol,Mony Mony,0.701,0.758,1,-5.568,1,0.0405,0.004,0,0.13,0.344,135.188,300213,spotify:track:3GfGTJ2xzC0rqKgdjNJLOC,yes,1981
Shakin' Stevens,You Drive Me Crazy,0.754,0.927,5,-2.597,1,0.0313,0.173,3.22e-06,0.307,0.975,119.494,171720,spotify:track:2j8bXaOBeEeyoY4ZpCcFIW,yes,1981
Stevie Wonder,Lately,0.437,0.152,1,-16.78,1,0.0352,0.478,0,0.108,0.267,76.011,245240,spotify:track:5rlgpm7n5f9mWc5LQU42bI,yes,1981
"Earth, Wind & Fire",Let's Groove,0.869,0.648,11,-8.698,0,0.0633,0.121,2.17e-05,0.126,0.9,125.035,339320,spotify:track:3koCCeSaVUyrRo3N2gHrd8,yes,1981
The Rolling Stones,Waiting On A Friend - Remastered 2009,0.606,0.794,0,-6.042,1,0.0282,0.157,0.0406,0.568,0.911,116.93,274227,spotify:track:4Wd9pEtEnZNDjgiswGOpJb,yes,1981
Commodores,Lady (You Bring Me Up),0.892,0.593,0,-9.429,0,0.0405,0.2,0.000339,0.0996,0.867,120.979,293227,spotify:track:5CLozJK4pKWoPpFf2Z1Mye,yes,1981
Queen,Under Pressure - Remastered 2011,0.671,0.712,2,-7.815,1,0.0476,0.429,0,0.103,0.462,113.805,248440,spotify:track:2fuCquhmrzHpu5xcA1ci9x,yes,1981
